player,team,role,goals,assists,penalties saved,saves,clean sheets,yellow cards,red cards,penalties missed,own goals,goals conceded,minutes,score,rating
Benjamin Chilwell,Leicester,Defender,0,0,0,0,1,1,0,0,0,9,429,-9.0,-1.89
Edimilson Fernandes,West Ham,Midfielder,0,0,0,0,1,2,0,0,0,13,641,-13.5,-1.9
Martin Kelly,Crystal Palace,Defender,0,2,0,0,1,3,0,0,0,35,1599,-34.0,-1.91
Jack Wilshere,Bournemouth,Midfielder,0,3,0,0,5,4,0,0,0,45,1950,-41.5,-1.92
Jefferson Montero,Swansea,Midfielder,0,1,0,0,0,0,0,0,0,9,373,-8.0,-1.93
Kyle Naughton,Swansea,Defender,0,0,0,0,5,4,0,0,1,46,2264,-48.5,-1.93
Markus Henriksen,Hull,Midfielder,0,0,0,0,0,1,0,0,0,13,619,-13.5,-1.96
Sebastian Larsson,Sunderland,Midfielder,0,1,0,0,3,3,1,0,0,26,1186,-26.0,-1.97
Adnan Januzaj,Sunderland,Midfielder,0,3,0,0,3,3,1,0,0,36,1544,-34.0,-1.98
Billy Jones,Sunderland,Defender,0,0,0,0,4,6,0,0,0,39,1820,-40.0,-1.98
Marcin Wasilewski,Leicester,Defender,0,0,0,0,0,0,0,0,0,2,90,-2.0,-2.0
Sam Clucas,Hull,Midfielder,1,1,0,0,3,7,1,0,0,62,2736,-61.0,-2.01
Alberto Moreno,Liverpool,Defender,0,1,0,0,0,1,0,0,0,7,291,-6.5,-2.01
Håvard Nordtveit,West Ham,Midfielder,0,1,0,0,1,2,0,0,0,16,687,-15.5,-2.03
Harry Arter,Bournemouth,Midfielder,1,3,0,0,6,9,1,1,0,60,2606,-59.5,-2.05
Craig Gardner,West Brom,Midfielder,0,1,0,0,1,1,0,0,0,6,218,-5.0,-2.06
Adlène Guédioura,Middlesbrough,Midfielder,0,1,0,0,0,2,0,0,0,20,861,-20.0,-2.09
Sam Byram,West Ham,Defender,0,1,0,0,2,4,1,0,0,22,979,-23.0,-2.11
Papy Djilobodji,Sunderland,Defender,0,0,0,0,2,4,1,0,0,35,1577,-37.0,-2.11
Kevin Wimmer,Spurs,Defender,0,0,0,0,0,3,0,0,1,4,357,-8.5,-2.14
Jonas Olsson,West Brom,Defender,0,0,0,0,1,3,0,0,0,13,590,-14.0,-2.14
Jan Kirchhoff,Sunderland,Midfielder,0,1,0,0,0,1,0,0,0,11,433,-10.5,-2.18
Curtis Davies,Hull,Defender,0,2,0,0,1,3,0,0,1,48,2049,-50.0,-2.2
Lee Cattermole,Sunderland,Midfielder,0,0,0,0,0,3,0,0,0,8,387,-9.5,-2.21
Angel Rangel,Swansea,Defender,1,0,0,0,1,1,0,0,0,24,831,-21.0,-2.27
Luis Hernández,Leicester,Defender,0,0,0,0,0,1,0,0,0,8,327,-8.5,-2.34
Wahbi Khazri,Sunderland,Midfielder,1,0,0,0,1,4,0,0,0,18,629,-16.5,-2.36
Jack Cork,Swansea,Midfielder,0,1,0,0,3,7,0,0,2,51,2200,-58.0,-2.37
Neil Taylor,Swansea,Defender,0,1,0,0,2,1,0,0,0,26,920,-24.5,-2.4
Jordi Amat,Swansea,Defender,0,0,0,0,2,5,0,0,0,36,1409,-37.5,-2.4
Arthur Masuaku,West Ham,Defender,0,1,0,0,2,1,0,0,0,24,837,-22.5,-2.42
Mike van der Hoorn,Swansea,Defender,1,0,0,0,1,1,0,0,0,20,630,-17.0,-2.43
Giannelli Imbula,Stoke,Midfielder,0,1,0,0,2,1,0,0,1,20,796,-21.5,-2.43
Ahmed Elmohamady,Hull,Midfielder,0,2,0,0,1,2,1,0,1,56,2149,-58.5,-2.45
Leon Britton,Swansea,Midfielder,0,0,0,0,2,2,0,0,0,22,802,-22.0,-2.47
Sung-yueng Ki,Swansea,Midfielder,0,0,0,0,1,3,0,0,0,27,1010,-28.0,-2.5
Ryan Mason,Hull,Midfielder,1,0,0,0,0,4,0,0,0,27,927,-26.0,-2.52
Lys Mousset,Bournemouth,Forward,0,0,0,0,0,0,0,0,0,2,71,-2.0,-2.54
George Honeyman,Sunderland,Midfielder,0,0,0,0,0,1,0,0,0,3,121,-3.5,-2.6
Philipp Wollscheid,Stoke,Defender,0,0,0,0,0,1,0,0,0,5,180,-5.5,-2.75
Simone Zaza,West Ham,Forward,0,0,0,0,2,2,0,0,0,14,459,-14.0,-2.75
Ezekiel Fryers,Crystal Palace,Defender,0,1,0,0,0,0,0,0,0,7,188,-6.0,-2.87
Kurt Zouma,Chelsea,Defender,0,0,0,0,0,0,0,0,0,5,155,-5.0,-2.9
Patrick McNair,Sunderland,Defender,0,0,0,0,1,0,0,0,1,9,353,-11.5,-2.93
James Tarkowski,Burnley,Defender,0,0,0,0,0,1,0,0,0,5,163,-5.5,-3.04
Will Keane,Hull,Forward,0,0,0,0,1,0,0,0,0,10,280,-9.5,-3.05
Ashley Fletcher,West Ham,Forward,0,0,0,0,0,2,0,0,0,10,322,-11.0,-3.07
Aleix García Serrano,Man City,Midfielder,0,0,0,0,0,0,0,0,0,1,29,-1.0,-3.1
Lewis Cook,Bournemouth,Midfielder,0,0,0,0,0,0,0,0,0,4,115,-4.0,-3.13
Bradley Smith,Bournemouth,Defender,0,0,0,0,0,1,0,0,0,9,269,-9.5,-3.18
Álvaro Arbeloa,West Ham,Defender,0,0,0,0,0,3,0,0,0,9,258,-10.5,-3.66
Tyrone Mings,Bournemouth,Defender,0,0,0,0,0,0,0,0,2,16,506,-22.0,-3.91
Bakary Sako,Crystal Palace,Midfielder,0,0,0,0,0,0,0,0,0,5,112,-5.0,-4.02
Nathan Dyer,Swansea,Midfielder,0,1,0,0,0,0,0,0,0,11,214,-10.0,-4.21
Aiden O'Neill,Burnley,Midfielder,0,0,0,0,0,0,0,0,0,4,85,-4.0,-4.24
James Husband,Middlesbrough,Defender,0,0,0,0,0,0,0,0,0,3,58,-3.0,-4.66
Ben Watson,Watford,Midfielder,0,0,0,0,0,0,1,0,0,2,54,-3.0,-5.0
Oliver McBurnie,Swansea,Forward,0,0,0,0,0,0,0,0,0,5,82,-5.0,-5.49
Memphis Depay,Man Utd,Midfielder,0,0,0,0,0,1,0,0,0,1,24,-1.5,-5.62
